subject,gradshap_ff,gradshap_p_orig,gradshap_p_masked,pdsm_ff,pdsm_p_orig,pdsm_p_masked
S001,-0.006363362073898315,0.4627234637737274,0.46908682584762573,0.02109119012242272,0.4627234637737274,0.4416322736513047
S002,-0.003951527178287506,0.45205216109752655,0.45600368827581406,-0.03780520955721539,0.45205216109752655,0.48985737065474194
S003,-0.005877185612916946,0.43732176907360554,0.4431989546865225,0.004931742325425148,0.43732176907360554,0.4323900267481804
S004,-0.0081099967161814,0.43593182290593785,0.44404181962211925,0.002704489976167679,0.43593182290593785,0.43322733292977017
S005,-0.0041450748318120345,0.5222836309357693,0.5264287057675814,0.056461674602408196,0.5222836309357693,0.46582195633336115
S006,-0.006592733785510063,0.4606370497494936,0.46722978353500366,-0.03572686389088631,0.4606370497494936,0.4963639136403799
S007,0.0014372915029525757,0.4788494308789571,0.4774121393760045,-0.00048741201559704406,0.4788494308789571,0.47933684289455414
S009,0.0005377481381098059,0.5143736178676287,0.5138358697295189,0.024590740601221683,0.5143736178676287,0.489782877266407
S011,-0.0032649819667522895,0.5354321828255286,0.5386971647922809,0.0509513043440305,0.5354321828255286,0.4844808784814981
S012,-0.0039054512977599876,0.49839754998683927,0.5023030012845993,0.031176331639289845,0.49839754998683927,0.4672212183475494
S013,-0.0008617006242275238,0.5300811640918255,0.530942864716053,0.056361179798841476,0.5300811640918255,0.473719984292984
S015,-0.007370690504709898,0.4574592014153798,0.4648298919200897,0.014292734364668491,0.4574592014153798,0.44316646705071133
S016,-0.005063863900991616,0.48404731429540193,0.48911117819639355,0.012751519680023193,0.48404731429540193,0.47129579461537874
S017,-0.004555190602938353,0.4984959264596303,0.5030511170625687,0.017590959866841616,0.4984959264596303,0.4809049665927887
S018,-0.005579371005296707,0.45449444837868214,0.46007381938397884,0.036198221147060394,0.45449444837868214,0.41829622723162174
S019,-0.005653013785680172,0.4416336549652947,0.4472866687509749,-0.025794870323605,0.4416336549652947,0.4674285252888997
S020,-0.010695869723955753,0.40143770972887677,0.4121335794528325,-0.04232232024272281,0.40143770972887677,0.4437600299715996
S021,-0.007368817925453186,0.4781631678342819,0.4855319857597351,0.017216986843517856,0.4781631678342819,0.46094618099076407
S024,-0.01115561525026959,0.36481837928295135,0.37597399453322095,-0.036344197061326744,0.36481837928295135,0.4011625763442781
S025,-0.015446584333072999,0.34626558603662433,0.36171217036969733,-0.1067526466918714,0.34626558603662433,0.45301823272849573
S027,-0.010270193219184875,0.418256754676501,0.42852694789568585,0.015405635039011656,0.418256754676501,0.4028511196374893
S028,0.0005587339401245117,0.5109151922739469,0.5103564583338224,0.04672759083601141,0.5109151922739469,0.46418760143793547
S029,-0.009821542284705442,0.38496584783900867,0.3947873901237141,-0.018521937456997983,0.38496584783900867,0.40348778529600665
S030,-0.009815908395327033,0.42369425755280715,0.4335101659481342,-0.0006147302114046238,0.42369425755280715,0.4243089877642118
S032,-0.003935528298219082,0.47598182161649066,0.47991734991470975,0.01342343290646869,0.47598182161649066,0.462558388710022
S033,-0.009118720889091492,0.46829872330029804,0.47741744418938953,0.018552333116531372,0.46829872330029804,0.44974639018376666
S034,-0.007944125682115555,0.46489380672574043,0.472837932407856,0.041548531502485275,0.46489380672574043,0.42334527522325516
S035,-0.003836117007515627,0.4882531193169681,0.4920892363244837,-0.005738423629240541,0.4882531193169681,0.4939915429462086
S036,-0.006679892539978027,0.47821277379989624,0.48489266633987427,0.022362430890401186,0.47821277379989624,0.45585034290949505
S038,-0.0030030345916748358,0.4864019191265106,0.48940495371818543,0.024644236564636213,0.4864019191265106,0.4617576825618744
S039,-0.012294691469934282,0.3706461174620522,0.3829408089319865,-0.03132036162747276,0.3706461174620522,0.401966479089525
S040,-0.006150235732396481,0.5190761039654413,0.5252263396978378,0.04924340049425757,0.5190761039654413,0.4698327034711838
S041,-0.008670859866672098,0.402437471681171,0.4111083315478431,-0.008925187918874922,0.402437471681171,0.4113626596000459
S043,-0.01119107504685718,0.4091243777010176,0.4203154527478748,-0.037269593940840784,0.4091243777010176,0.4463939716418584
S048,-0.0005498290061950462,0.5113877991835276,0.5119376281897227,0.037845887740453055,0.5113877991835276,0.47354191144307456
S049,-0.0010542459785938263,0.5173972547054291,0.5184515006840229,0.044063225388526917,0.5173972547054291,0.47333402931690216
S051,-0.006405642877022444,0.4617745950818062,0.4681802379588286,0.0037687694032986774,0.4617745950818062,0.4580058256785075
S052,-0.0038904437893315102,0.4731260773382689,0.4770165211276004,0.03356958376733882,0.4731260773382689,0.4395564935709301
S055,-0.003525862470269203,0.4641454629600048,0.467671325430274,0.004283592104911804,0.4641454629600048,0.459861870855093
S056,-0.006473644783622334,0.4701266524038817,0.476600297187504,0.020587503910064697,0.4701266524038817,0.449539148493817
S058,-0.0055531031555599575,0.4632900489701165,0.46884315212567645,0.015022714932759584,0.4632900489701165,0.4482673340373569
S059,-0.0032066611143258816,0.5373688065088712,0.5405754676231971,0.04800536540838385,0.5373688065088712,0.48936344110048735
S061,-0.005349766124378541,0.48791997676545923,0.49326974288983777,0.032883114435455996,0.48791997676545923,0.45503686233000323
S062,-0.004736813902854964,0.5167693644762039,0.5215061783790589,0.049004927277565,0.5167693644762039,0.4677644371986389
S063,-0.003505617380142212,0.49174315854907036,0.49524877592921257,0.046500977128744125,0.49174315854907036,0.44524218142032623
S064,-0.004781797528266907,0.423123041788737,0.4279048393170039,-0.004691183567047119,0.423123041788737,0.4278142253557841
S067,-0.0061731524765491486,0.4303620345890522,0.43653518706560135,-0.013392757624387741,0.4303620345890522,0.44375479221343994
S068,-0.0016245722770691362,0.5076279759407043,0.5092525482177734,0.0066592574119567205,0.5076279759407043,0.5009687185287476
S070,-0.003727032078637005,0.4681594967842102,0.4718865288628472,0.023324979676140667,0.4681594967842102,0.44483451710806954
S071,-0.005639438118253459,0.43813514709472656,0.44377458521298,-0.031357543809073296,0.43813514709472656,0.46949269090379986
S072,-0.003880583322965203,0.45598607338391817,0.45986665670688337,0.003494721192579986,0.45598607338391817,0.4524913521913382
S073,-0.0030555352568626404,0.4861595183610916,0.48921505361795425,0.02230470130840939,0.4861595183610916,0.4638548170526822
S076,-0.006634793498299374,0.4175597104159268,0.4241945039142262,-0.03612215410579339,0.4175597104159268,0.4536818645217202
S077,-0.007846144959330559,0.44757306948304176,0.4554192144423723,0.01590152271091938,0.44757306948304176,0.4316715467721224
